,time,passenger_pos,destination_pos,distance,reward,wait_time
0,2022/6/29 22:12,[5.06805189 8.35771017],[5.31031453 2.66107601],5.701783223,19.75445806,16
1,2022/6/29 21:52,[ 3.61907613 13.82336304],[ 6.19001155 10.92809583],3.871986718,15.17996679,3
2,2022/6/29 19:47,[15.10251813 20.71184486],[ 1.1793642  23.98231197],14.30210371,84.13288891,18
3,2022/6/29 23:01,[18.83701168  2.45277096],[26.20735872 27.62617202],26.23017606,128.8631602,14
4,2022/6/29 18:31,[1.8323388  8.30632944],[24.18603839 22.44779071],26.45125351,129.6922007,3
5,2022/6/29 20:05,[5.53563058 6.2804797 ],[11.11416308 14.53568956],9.963358603,30.40839651,10
6,2022/6/29 19:22,[18.54764315 11.06740919],[13.87604148 22.42412814],12.28002148,76.55008055,1
7,2022/6/29 21:55,[1.10049609 7.57310833],[21.40048758 26.85620513],27.99870491,135.4951434,6
8,2022/6/29 20:21,[15.35032326 15.96340456],[ 3.21516034 13.422371  ],12.3983479,76.99380463,17
9,2022/6/29 21:49,[15.97851799  7.27411511],[ 8.07729693 11.31852489],8.876178503,27.69044626,16
10,2022/6/29 19:43,[0.60213593 9.66237497],[6.34344021 9.82492057],5.74360478,19.85901195,14
11,2022/6/29 23:54,[ 3.59286395 26.71581842],[17.80777361 20.37306957],15.56579967,88.87174876,13
12,2022/6/29 21:24,[23.67513716 14.95326597],[ 2.60760864 16.11319625],21.09943592,109.6228847,5
13,2022/6/29 20:59,[17.60523354 22.36318423],[12.94978639  3.82740908],19.11146641,102.167999,6
14,2022/6/29 23:45,[ 8.51327717 10.89246889],[19.37751724 17.12334914],12.52419981,77.46574929,14
15,2022/6/29 19:18,[10.68290178 29.59545746],[18.17324458  7.11680375],23.69377783,119.3516669,3
16,2022/6/29 18:14,[3.05347418 4.58577418],[7.37873185 4.8204412 ],4.331618929,16.32904732,1
17,2022/6/29 19:23,[5.59701072 8.55285506],[ 5.20120786 26.90296274],18.35437582,99.32890932,1
18,2022/6/29 18:00,[ 2.40701237 15.73534169],[12.31190481 29.47135851],16.93472918,94.00523442,5
19,2022/6/29 18:09,[ 3.36116707 11.93566797],[29.084113   25.96521378],29.30013828,140.3755185,1
20,2022/6/29 19:29,[24.51216213  7.73708481],[ 5.12662762 20.0592966 ],22.97032545,116.6387204,13
21,2022/6/29 20:06,[27.88127967 16.70288679],[17.14838068  8.39937281],13.56994713,81.38730174,8
22,2022/6/29 22:19,[23.084788    5.61131246],[ 9.71037709 12.76309316],15.16650369,87.37438884,1
23,2022/6/29 21:38,[15.22831136  7.27229197],[ 3.44510474 18.31860127],16.15131287,91.06742326,17
24,2022/6/29 18:18,[ 8.6589166  17.43714664],[ 4.63088146 14.43420306],5.02421509,18.06053772,13
25,2022/6/29 23:55,[15.97768298  1.5547061 ],[10.09812835  4.03244031],6.380307942,21.45076986,11
