司机id,总收益,总跑单量,总空载距离,完成最后一单的时刻
0,648.84826345,7.0,23.25608883952348,2022-06-30 00:39:11
1,511.27862912,7.0,28.41832958982464,2022-06-30 00:53:10
2,496.80943934,7.0,34.90738952551672,2022-06-30 00:31:16
3,374.20052771,8.0,56.71448717006464,2022-06-30 01:03:23
4,510.57413168000005,7.0,34.04653628397204,2022-06-30 00:49:44
5,371.14442340999994,6.0,45.19187052861233,2022-06-30 00:31:25
6,403.38436829,7.0,52.703503426217175,2022-06-30 00:21:54
7,466.49888517,7.0,42.035773678579126,2022-06-30 00:15:03
8,522.79212158,8.0,43.8439699364949,2022-06-30 00:38:03
9,408.28361163999995,8.0,40.53536217687313,2022-06-30 00:32:50
10,454.02714533,7.0,35.935009312639785,2022-06-30 00:13:04
11,495.28231101999995,8.0,36.04773711915273,2022-06-30 00:45:31
12,430.23988510000004,7.0,50.5550439714141,2022-06-30 00:24:44
13,426.45830422999995,7.0,46.357961482920416,2022-06-30 00:15:21
14,653.07734572,8.0,22.08677355612818,2022-06-30 00:50:36
15,466.69351941,5.0,38.26568661186581,2022-06-30 00:47:07
16,437.66424778,7.0,53.160265106927,2022-06-30 01:09:35
17,420.91329477,8.0,50.29820631787426,2022-06-30 00:43:02
18,380.95877502999997,8.0,68.32883459324526,2022-06-30 00:50:58
19,494.33290173,7.0,40.38751118947143,2022-06-30 00:31:42
20,583.86437601,7.0,29.71364536031984,2022-06-30 00:48:24
21,534.83491169,7.0,49.072639752676636,2022-06-30 00:51:01
22,551.59326423,7.0,27.98759233943448,2022-06-30 00:46:08
23,544.68181787,6.0,40.393102512551636,2022-06-30 00:55:02
24,527.53074724,8.0,32.95506326040773,2022-06-30 00:42:45
25,403.36404686000003,8.0,57.976499503491375,2022-06-30 00:53:05
26,398.09291219000005,6.0,45.944618022182944,2022-06-30 00:25:43
27,582.61261324,7.0,33.167185063323736,2022-06-30 00:49:48
28,444.63639212,8.0,43.721722593506954,2022-06-30 00:25:07
29,482.01111293,7.0,34.92393625289289,2022-06-30 00:28:32
30,493.75123748,8.0,34.60639479968009,2022-06-30 00:30:48
31,545.6670344400001,5.0,27.625021779732165,2022-06-30 00:51:32
32,518.32975601,7.0,32.58099504412512,2022-06-30 00:19:55
33,406.51680209,8.0,56.364570953091174,2022-06-30 00:26:12
34,564.20550943,8.0,33.670013416750585,2022-06-30 01:26:53
35,553.65019515,7.0,26.858653358404357,2022-06-30 00:09:57
36,438.97802286,6.0,48.674963131512996,2022-06-30 00:23:04
37,463.83443303,7.0,43.27661602873601,2022-06-30 00:36:56
38,516.50520413,7.0,40.96472539153609,2022-06-30 00:10:50
39,558.37894538,7.0,41.64237604219606,2022-06-30 00:34:47
40,501.25682938,8.0,46.097344785944706,2022-06-30 00:38:41
41,553.92030358,7.0,27.900355930274088,2022-06-30 00:50:11
42,350.39685493999997,8.0,55.55611158736129,2022-06-30 00:25:24
43,426.99634230999993,7.0,57.62219911035709,2022-06-30 00:44:22
44,418.48770571,7.0,37.6712056397583,2022-06-30 00:14:32
45,469.59920579,6.0,33.923908589731724,2022-06-30 00:38:35
46,356.07666392000004,7.0,50.9674694364795,2022-06-30 00:24:30
47,330.69205531,7.0,45.94583871608532,2022-06-30 00:05:20
48,465.88578529,9.0,45.460398640704526,2022-06-30 00:44:49
49,522.5758657599999,7.0,25.999799779378908,2022-06-30 00:32:30
50,415.19800888000003,8.0,33.12376156373991,2022-06-30 00:17:07
51,559.94865764,6.0,28.374537945055568,2022-06-30 00:36:20
52,517.12423357,6.0,27.43243119460425,2022-06-30 00:16:03
53,498.88162949,7.0,41.87839808936545,2022-06-30 00:31:58
54,451.72573676,7.0,44.57721103223695,2022-06-30 00:23:44
55,445.81230859,7.0,43.007969793333906,2022-06-30 00:30:00
56,447.37500878000003,6.0,38.200925513093324,2022-06-30 00:11:44
57,465.38944179,8.0,41.967330270783464,2022-06-30 01:05:59
58,530.78086885,8.0,42.45423828146514,2022-06-30 00:46:55
59,400.97398327999997,8.0,52.48363225268078,2022-06-30 00:20:51
60,467.69931441,7.0,43.084178195434106,2022-06-30 00:20:02
61,437.99990383,6.0,39.69026628499923,2022-06-30 00:23:40
62,506.36904473999994,9.0,38.047587168488924,2022-06-30 00:35:42
63,426.2568438,9.0,54.26853758056281,2022-06-30 00:56:28
64,489.88139963,8.0,64.121678541985,2022-06-30 02:02:37
65,415.79228821000004,9.0,52.71834574495074,2022-06-30 00:22:27
66,621.35940282,8.0,39.84020605005898,2022-06-30 01:38:19
67,548.9097502799999,6.0,39.09071351218556,2022-06-30 00:49:31
68,377.76373559999996,6.0,37.783019653501476,2022-06-30 00:10:27
69,610.89893011,7.0,44.81336284338657,2022-06-30 01:27:52
70,508.5134402499999,5.0,33.150858968551894,2022-06-30 00:27:00
71,528.59826633,7.0,32.539396984786926,2022-06-30 00:25:11
72,519.58460573,6.0,24.923300880057063,2022-06-30 00:14:01
73,495.91299598,7.0,38.88581651784446,2022-06-30 00:36:26
74,512.8758629800001,7.0,45.73740772372928,2022-06-30 00:52:30
75,406.01654538,8.0,45.037879940851084,2022-06-30 00:24:33
76,510.74817665,7.0,41.47252442207195,2022-06-30 00:21:33
77,490.04184068,7.0,33.58352969397232,2022-06-30 00:12:55
78,494.35774274000005,7.0,38.51173550495519,2022-06-30 00:14:50
79,518.01365558,7.0,42.272883148249846,2022-06-30 00:43:52
80,505.11315704,6.0,41.45965225635653,2022-06-30 00:48:45
81,510.15621734999996,9.0,40.83458443171884,2022-06-30 00:33:01
82,437.50138726,6.0,42.53571795511108,2022-06-30 00:14:16
83,487.75835265,9.0,39.4705063214481,2022-06-30 00:30:28
84,580.84844313,6.0,22.827102369613975,2022-06-30 00:39:25
85,488.48007533,8.0,33.40797305590895,2022-06-30 00:36:51
86,505.17936664,7.0,45.489675252761025,2022-06-30 00:49:45
87,358.68737053,8.0,54.39383728820133,2022-06-30 00:40:24
88,494.37787951,9.0,48.08190122993645,2022-06-30 00:48:30
89,467.95059772,8.0,52.78363550400805,2022-06-30 00:45:59
90,522.1063542600001,7.0,48.48952258984656,2022-06-30 00:54:12
91,390.93037577999996,7.0,55.22321724138471,2022-06-30 00:45:27
92,572.03757554,6.0,27.743039183403848,2022-06-30 00:32:43
93,485.6171282,7.0,32.659171551100954,2022-06-30 00:10:05
94,459.36854551999994,6.0,29.645042677023795,2022-06-30 00:12:10
95,388.34308817000004,6.0,49.964890284597914,2022-06-30 00:25:06
96,428.81279272,7.0,39.721535589324944,2022-06-30 00:24:49
97,516.19459954,7.0,36.39904180581493,2022-06-30 00:47:31
98,517.04780107,7.0,33.02649466487789,2022-06-30 00:30:50
99,456.07778368999993,8.0,44.048706677243004,2022-06-30 00:42:00
100,534.19937132,7.0,31.34200945629469,2022-06-30 00:40:15
101,492.96600067,7.0,36.15417067613454,2022-06-30 00:16:04
102,462.77176489000004,6.0,42.02235999668183,2022-06-30 00:23:44
103,380.27837222,7.0,42.18579405978237,2022-06-30 00:21:32
104,431.98105903,8.0,38.88448468274474,2022-06-30 00:07:51
105,490.87475616000006,7.0,52.743328830249034,2022-06-30 00:57:21
106,431.44487156,7.0,41.49637393345816,2022-06-30 00:17:10
107,413.65311866,7.0,53.402259196263515,2022-06-30 00:32:29
108,542.9773696499999,8.0,33.460889032368655,2022-06-30 00:08:11
109,413.62037524000004,7.0,47.31698367531407,2022-06-30 00:32:51
110,461.3976927000001,9.0,55.18508690044745,2022-06-30 01:04:54
111,542.34394176,9.0,44.37678411288373,2022-06-30 01:14:13
112,523.7854444899999,6.0,27.270448243714128,2022-06-30 00:07:31
113,496.4014341899999,6.0,34.49089001075284,2022-06-30 00:16:43
114,542.44676039,6.0,12.850200110333473,2022-06-30 00:11:44
115,434.0615689,6.0,40.533916626741316,2022-06-30 00:06:35
116,469.28032812,7.0,45.651938842948894,2022-06-30 00:07:20
117,408.65806559,6.0,54.766470725986046,2022-06-30 00:26:43
118,564.74638409,7.0,33.370141461585575,2022-06-30 00:51:48
119,449.16946762,6.0,40.33311654209928,2022-06-30 00:17:28
120,496.30728858000003,6.0,32.608740969953914,2022-06-30 00:30:31
121,496.94181598,8.0,43.18214952940763,2022-06-30 01:00:48
122,321.62281128,8.0,64.7241074700433,2022-06-30 00:31:58
123,545.7397151900001,7.0,34.44060291014641,2022-06-30 00:27:00
124,371.89934440999997,5.0,52.75981632965544,2022-06-30 00:18:08
125,558.63510033,7.0,31.79889848591725,2022-06-30 00:28:11
126,556.3593827999999,6.0,28.92580637656469,2022-06-30 00:59:40
127,581.91123729,7.0,41.2529989405191,2022-06-30 01:15:27
128,461.74791741999996,7.0,50.87714371773303,2022-06-30 01:27:56
129,415.35404879,8.0,52.171710612921416,2022-06-30 00:55:14
130,415.10609203,5.0,43.45016703652868,2022-06-30 00:27:30
131,463.89633738000003,8.0,62.405090465009394,2022-06-30 01:16:55
132,572.14667506,7.0,37.69426364767183,2022-06-30 00:46:01
133,579.19017551,8.0,30.95996097768198,2022-06-30 00:44:29
134,525.37814227,7.0,39.60892498563192,2022-06-30 00:41:08
135,436.10420323000005,6.0,42.16871678709195,2022-06-30 00:41:32
136,537.50698339,6.0,28.33336058422661,2022-06-30 00:37:32
137,505.06682609999996,7.0,31.158124380546344,2022-06-30 00:16:36
138,453.52885876000005,7.0,36.764201313590874,2022-06-30 00:07:52
139,467.25041101,8.0,39.758924536208056,2022-06-30 00:33:48
140,447.49539333,7.0,32.64733434734744,2022-06-30 00:13:16
141,472.22690514000004,7.0,36.40745885987498,2022-06-30 00:21:47
142,428.43861548999996,8.0,43.64215895376831,2022-06-30 00:10:32
143,420.99982894999994,7.0,54.01308275197442,2022-06-30 00:45:35
144,483.23488705,7.0,41.76090382456229,2022-06-30 00:33:28
