司机id,总收益,总跑单量,总空载距离,完成最后一单的时刻
0,647.2099578,7.0,18.325990143821944,2022-06-30 00:23:52
1,582.09394034,5.0,30.786850477321316,2022-06-30 01:18:19
2,554.76210827,6.0,12.94670098007599,2022-06-30 00:10:13
3,536.6678295,6.0,25.350102602244874,2022-06-30 00:16:56
4,532.0050331,6.0,15.054999865334626,2022-06-30 00:07:55
5,518.97435416,5.0,29.721443458838625,2022-06-30 00:44:11
6,601.18004334,6.0,33.96702976798592,2022-06-30 01:12:44
7,602.29789064,5.0,14.533271034177453,2022-06-30 00:42:16
8,587.80398974,6.0,16.579226322891554,2022-06-30 00:10:51
9,651.16437505,7.0,26.043997069962334,2022-06-30 01:31:36
10,551.50088956,6.0,24.621222057631282,2022-06-30 00:49:21
11,605.65832473,6.0,20.603311261193156,2022-06-30 00:50:56
12,625.1235407,6.0,23.667231803561563,2022-06-30 00:52:32
13,634.0305623699999,7.0,16.745959778164533,2022-06-30 00:11:19
14,646.66645241,6.0,17.2487372182308,2022-06-30 00:55:36
15,552.5361476,6.0,20.128585225426544,2022-06-30 00:35:52
16,588.3642617099999,6.0,15.543944356299633,2022-06-30 00:56:36
17,609.90269879,6.0,20.442699720425445,2022-06-30 00:40:43
18,533.68992895,8.0,26.496539808826554,2022-06-30 00:26:31
19,653.60097019,7.0,15.701675254390056,2022-06-30 00:31:15
20,615.14232401,6.0,17.069896265045887,2022-06-30 00:31:05
21,707.78196034,9.0,15.93288940677211,2022-06-30 00:40:12
22,664.27654685,7.0,22.30710832308815,2022-06-30 01:01:14
23,542.58588941,5.0,20.626290933550077,2022-06-30 00:20:11
24,678.18243638,8.0,21.969926317052213,2022-06-30 01:43:06
25,549.72889941,7.0,17.396650678424816,2022-06-30 00:28:35
26,527.9352684800001,6.0,36.89565096144234,2022-06-30 00:48:16
27,585.99227183,5.0,28.621031462450052,2022-06-30 01:06:06
28,624.9791349499999,8.0,17.967939928296104,2022-06-30 00:13:38
29,640.45546921,6.0,20.506055633422367,2022-06-30 00:51:11
30,528.4007485100001,5.0,13.044699349561789,2022-06-30 00:13:39
31,538.5402406000001,5.0,16.239618349336308,2022-06-30 00:13:33
32,701.1459495,7.0,22.81002375332131,2022-06-30 01:23:47
33,661.69110145,7.0,15.448094376116089,2022-06-30 00:55:47
34,576.461262,6.0,18.83075211537551,2022-06-30 00:58:35
35,608.51170304,9.0,21.762277344126996,2022-06-30 00:11:49
36,530.77793796,6.0,22.588491935658254,2022-06-30 00:25:34
37,679.8437117600001,7.0,21.131822435479286,2022-06-30 01:10:44
38,628.94680808,6.0,24.818699175062918,2022-06-30 00:55:44
39,630.5888134400001,7.0,23.37491917988395,2022-06-30 00:37:38
40,526.6540632,5.0,27.946780130845926,2022-06-30 00:24:19
41,614.27084962,8.0,15.858997471445806,2022-06-30 00:39:06
42,563.6246694600001,6.0,21.700811784783472,2022-06-30 00:38:35
43,552.5375886,5.0,16.763648930805115,2022-06-30 00:06:44
44,565.9417497,5.0,21.535185038611225,2022-06-30 00:32:34
45,531.69506989,5.0,20.547579270303707,2022-06-30 00:15:40
46,569.7168708199999,6.0,30.680664615525313,2022-06-30 00:46:21
47,496.24899058,5.0,24.693101692934544,2022-06-30 00:10:57
48,636.0526506699999,6.0,19.150781010803634,2022-06-30 00:40:57
49,578.40916837,7.0,20.423657140278436,2022-06-30 00:27:06
50,606.44546448,7.0,19.221866201012446,2022-06-30 00:15:23
51,582.57236335,5.0,23.002925578778736,2022-06-30 01:01:27
52,563.32812895,6.0,25.040666872755665,2022-06-30 00:46:08
53,626.2606545900001,6.0,18.162281523273908,2022-06-30 01:02:16
54,639.9989190499999,6.0,27.0451808337773,2022-06-30 01:05:30
55,618.54819503,6.0,25.319368419523748,2022-06-30 01:00:14
56,542.56268043,6.0,21.387761729212464,2022-06-30 00:39:58
57,478.63834218,5.0,26.212854465131866,2022-06-30 00:23:13
58,576.97900719,5.0,15.12355401184117,2022-06-30 00:20:40
59,570.1343754500001,7.0,40.1257078995692,2022-06-30 00:57:56
60,609.76506214,7.0,24.520991486462428,2022-06-30 00:52:45
61,579.93486067,6.0,18.501865708456798,2022-06-30 00:43:10
62,617.3971925,6.0,14.414649262662873,2022-06-30 00:23:13
63,601.81822622,8.0,27.333310145894707,2022-06-30 00:44:59
64,660.62329452,8.0,21.439644012890604,2022-06-30 00:50:56
65,576.50153284,7.0,24.66737160472473,2022-06-30 00:14:16
66,668.29683541,7.0,25.909518571708208,2022-06-30 01:31:37
67,550.7611192300001,5.0,17.744637710365282,2022-06-30 00:39:38
68,632.37886732,6.0,20.748171971926485,2022-06-30 01:14:44
69,685.69075357,7.0,39.45554711012048,2022-06-30 02:35:30
70,608.81671422,6.0,14.82177783368188,2022-06-30 00:26:50
71,517.91055625,6.0,30.086630588646912,2022-06-30 01:01:31
