司机id,总收益,总跑单量,总空载距离,完成最后一单的时刻
0,371.36236759999997,3.0,47.40502469707012,2022-06-30 00:24:42
1,411.66502396,4.0,76.25615266314924,2022-06-30 01:46:56
2,470.8282551,4.0,44.28485238930513,2022-06-30 00:37:20
3,471.0085537,4.0,47.46744226047447,2022-06-30 00:41:33
4,453.47793745999996,4.0,69.28893206616563,2022-06-30 01:30:33
5,448.43335762,4.0,71.12826633004788,2022-06-30 01:31:59
6,376.99340813000003,4.0,73.35088275231098,2022-06-30 01:28:59
7,361.76067672,3.0,74.56106711582612,2022-06-30 00:58:58
8,507.2318007,4.0,70.22696015768328,2022-06-30 02:14:11
9,433.25500108,4.0,75.59510514013576,2022-06-30 01:33:09
10,440.12336368,4.0,64.8598489486906,2022-06-30 01:07:43
11,469.74894982,4.0,50.92281453011909,2022-06-30 00:50:29
12,388.28973690000004,3.0,53.55359782087801,2022-06-30 00:19:10
13,379.1914284,3.0,57.33540632855412,2022-06-30 00:40:02
14,330.09165851,4.0,77.52458591829972,2022-06-30 00:44:35
15,424.42218941,4.0,60.36552069133165,2022-06-30 00:42:56
16,466.54708506,4.0,78.74311771411578,2022-06-30 02:09:31
17,503.69098902999997,5.0,64.9231554386373,2022-06-30 01:59:22
18,422.09624461,4.0,95.71269150668076,2022-06-30 02:24:09
19,502.77474290000004,4.0,67.70757998982441,2022-06-30 02:05:37
20,435.10616641,4.0,69.30952823148321,2022-06-30 01:18:38
21,316.71121172,3.0,71.98444078503331,2022-06-30 00:54:28
22,437.03457473000003,4.0,54.803553115816044,2022-06-30 01:19:05
23,446.68952707,4.0,44.21019426959457,2022-06-30 00:30:43
24,467.8840294,4.0,73.1607305142225,2022-06-30 02:00:36
25,428.80569773,4.0,67.03138373536572,2022-06-30 01:13:19
26,359.14837112,3.0,57.20938428701349,2022-06-30 00:18:24
27,518.88348422,5.0,71.20643033043316,2022-06-30 02:11:38
28,456.6478509,4.0,50.30327950237455,2022-06-30 01:03:44
29,452.65926303,4.0,52.3228647904925,2022-06-30 00:45:27
30,447.76934561999997,4.0,63.834605194618305,2022-06-30 01:31:38
31,460.00689209000006,4.0,59.386495615805174,2022-06-30 01:43:14
32,435.51581643,4.0,62.24320238879457,2022-06-30 01:00:44
33,418.44002420000004,4.0,54.52292931337983,2022-06-30 00:37:40
34,419.69018627,4.0,66.4386017621227,2022-06-30 01:00:40
35,473.56981410000003,4.0,61.555711106057494,2022-06-30 01:38:46
36,353.4288112,3.0,55.815251538260014,2022-06-30 00:15:03
37,338.3942923,3.0,68.72749303897973,2022-06-30 00:46:30
38,384.93316849,4.0,54.62232173618814,2022-06-30 00:34:53
39,452.27995517,5.0,56.45146886386379,2022-06-30 01:16:57
40,485.06309891,4.0,49.48174553481133,2022-06-30 01:04:01
41,451.28657021,4.0,65.8075512653544,2022-06-30 01:25:57
42,443.09986819999995,4.0,43.35709338658879,2022-06-30 00:36:33
43,497.53340561,5.0,64.09879803542366,2022-06-30 01:58:24
44,543.2597906999999,4.0,24.613466341124116,2022-06-30 00:57:19
45,388.52329398999996,4.0,47.686548065150916,2022-06-30 00:23:27
46,387.3117545,3.0,78.05114591221705,2022-06-30 02:01:25
47,440.2713036,4.0,49.894797280942655,2022-06-30 00:28:05
48,463.8195352,4.0,58.199744862001175,2022-06-30 01:25:45
49,339.4066548,3.0,64.77945703343555,2022-06-30 00:15:59
50,380.51684897999996,4.0,75.72492672263931,2022-06-30 01:20:03
51,397.11367530999996,4.0,83.51760247896003,2022-06-30 01:51:15
52,476.8232626,4.0,45.59487556176071,2022-06-30 00:45:39
53,531.8521619,4.0,70.14389203804406,2022-06-30 02:36:43
54,449.25328124,4.0,53.691339445338755,2022-06-30 01:13:47
55,455.52183188000004,4.0,36.030711475727955,2022-06-30 00:24:05
56,432.52430388000005,4.0,76.4831741440581,2022-06-30 01:43:10
57,343.82441650000004,3.0,63.397100341060614,2022-06-30 00:16:24
58,507.21245372,4.0,68.76610805129458,2022-06-30 02:12:01
59,483.31653633,5.0,50.75325498973885,2022-06-30 01:20:41
60,435.96569564999993,4.0,52.49288916246152,2022-06-30 00:49:14
61,467.4249442,4.0,60.56327082470534,2022-06-30 01:50:16
62,444.7599479,4.0,60.686557176056006,2022-06-30 01:05:21
63,483.01024800000005,4.0,75.4103754509955,2022-06-30 02:43:33
64,360.8789785,3.0,64.68454199397215,2022-06-30 00:47:05
65,490.8248406000001,4.0,66.00231369233646,2022-06-30 02:04:38
66,342.37173861,3.0,67.04168852281752,2022-06-30 00:28:43
67,378.1134177,3.0,50.64519782203355,2022-06-30 00:28:06
68,468.07483990000003,4.0,45.00053702764951,2022-06-30 00:41:18
69,341.61062000000004,3.0,59.761569486488725,2022-06-30 00:25:20
70,380.40207021,4.0,61.2813958022153,2022-06-30 01:01:39
71,381.15784486999996,4.0,62.00872248213217,2022-06-30 00:48:34
72,377.72217659999995,3.0,70.22218595844423,2022-06-30 01:33:45
73,350.5631848,3.0,60.51890549895912,2022-06-30 00:23:19
74,430.75938728999995,4.0,49.75575401979813,2022-06-30 00:33:26
75,298.40328282999997,3.0,73.66601979624555,2022-06-30 00:42:56
76,448.88870319000006,4.0,71.02243752074446,2022-06-30 01:47:01
77,344.00265138,3.0,75.67088782632267,2022-06-30 00:54:37
78,417.19689587,4.0,48.479952535400685,2022-06-30 00:35:27
79,349.24351552999997,3.0,65.65202472115003,2022-06-30 00:29:59
80,464.31179044,4.0,70.52309668147211,2022-06-30 01:50:20
81,399.38163697000005,4.0,59.237119219387345,2022-06-30 01:09:28
82,421.12028104,4.0,90.94525750544715,2022-06-30 02:33:47
83,367.17050337,4.0,58.054469247389534,2022-06-30 00:23:32
84,301.47332421,3.0,72.49763294009426,2022-06-30 00:51:49
85,341.30654289999995,3.0,66.37994945005998,2022-06-30 00:53:01
86,423.42546366,4.0,48.24945906110793,2022-06-30 00:28:32
87,357.0808323,3.0,56.0455304941085,2022-06-30 00:10:30
88,405.52281006,4.0,53.3213735571799,2022-06-30 00:20:23
89,379.69645001999993,4.0,69.2162026708917,2022-06-30 01:22:38
