订单id,是否被司机接单,接单司机id,下单时间,乘客位置,目的地位置,订单距离,订单收益,乘客最长等待接单时间,接单时刻,乘客实际等待时间
1536,1,3,2022-06-29 18:00:00,[14.31329453 29.8369277],[20.37515099 2.22224722],28.2721892,136.5207095,0:02:00,2022-06-29 18:00:00,0:37:34
374,1,1,2022-06-29 18:00:00,[17.32780098 19.03747253],[23.93742479 11.87911418],9.74316279,29.85790698,0:03:00,2022-06-29 18:00:00,0:13:36
826,1,4,2022-06-29 18:00:00,[25.32636976 14.52061718],[15.42286328 9.25404844],11.21678148,72.56293056,0:03:00,2022-06-29 18:00:00,0:28:21
18,1,7,2022-06-29 18:00:00,[2.40701237 15.73534169],[12.31190481 29.47135851],16.93472918,94.00523442,0:05:00,2022-06-29 18:00:00,0:30:31
108,1,5,2022-06-29 18:00:00,[6.90026512 3.61700657],[2.30859605 20.88866328],17.87158499,97.51844372,0:07:00,2022-06-29 18:00:00,1:14:59
1452,1,8,2022-06-29 18:00:00,[15.3626573 28.22070563],[1.43344094 10.56692925],22.48730506,114.827394,0:07:00,2022-06-29 18:00:00,0:39:52
307,1,9,2022-06-29 18:00:00,[23.96142575 8.7846611],[29.39910988 18.05644769],10.74869458,70.80760469,0:09:00,2022-06-29 18:00:00,0:31:27
167,1,11,2022-06-29 18:00:00,[18.00061644 8.74987736],[20.84945658 25.80367192],17.29010696,95.33790112,0:11:00,2022-06-29 18:00:00,0:27:10
789,1,10,2022-06-29 18:00:00,[5.53897372 10.26322863],[12.89872859 24.92847513],16.40839562,92.03148358,0:11:00,2022-06-29 18:00:00,0:40:32
649,1,12,2022-06-29 18:00:00,[28.23362438 26.28958299],[3.07703888 11.7819223],29.04007598,139.4002849,0:16:00,2022-06-29 18:00:00,0:42:19
318,1,15,2022-06-29 18:00:00,[15.17558079 25.22109084],[21.98404634 16.26711616],11.24850504,72.68189391,0:17:00,2022-06-29 18:00:00,0:58:07
216,1,291,2022-06-29 18:01:00,[29.98241177 1.44636117],[29.31522553 12.20723882],10.78154096,70.93077859,0:01:00,2022-06-29 18:01:00,0:49:40
2674,1,292,2022-06-29 18:01:00,[13.74200817 3.95509853],[19.93032874 6.42157369],6.661742353,22.15435588,0:05:00,2022-06-29 18:01:00,0:17:40
1810,1,254,2022-06-29 18:01:00,[17.04957453 13.18523341],[2.01721902 13.94068405],15.05132612,86.94247294,0:07:00,2022-06-29 18:01:00,0:40:53
295,1,290,2022-06-29 18:01:00,[1.15279047 27.05285976],[13.84432394 19.1160443],14.96890315,86.63338681,0:13:00,2022-06-29 18:01:00,0:36:41
1453,1,289,2022-06-29 18:01:00,[25.69715966 11.88163432],[5.97470693 12.74382544],19.74128961,104.529836,0:15:00,2022-06-29 18:01:00,0:33:24
468,1,299,2022-06-29 18:01:00,[27.28363833 21.66429706],[16.00159886 26.09907479],12.12236231,75.95885866,0:16:00,2022-06-29 18:01:00,1:24:48
188,1,14,2022-06-29 18:01:00,[13.15846258 21.75772981],[14.60006824 26.20269714],4.672896475,17.18224119,0:17:00,2022-06-29 18:01:00,0:59:40
587,1,288,2022-06-29 18:01:00,[11.07842311 27.98774588],[24.8251896 20.91628146],15.45895203,88.47107012,0:17:00,2022-06-29 18:01:00,0:19:04
2032,1,287,2022-06-29 18:01:00,[10.67905172 8.52312448],[5.28267864 22.29998741],14.79603983,85.98514937,0:20:00,2022-06-29 18:01:00,1:11:41
897,1,17,2022-06-29 18:02:00,[20.80266384 21.01834489],[22.60416332 26.18578265],5.472459531,19.18114883,0:01:00,2022-06-29 18:02:00,0:25:06
2709,1,18,2022-06-29 18:02:00,[14.87520093 27.9127048],[26.69897606 23.57401396],12.59467731,77.73003991,0:02:00,2022-06-29 18:02:00,1:13:15
365,1,16,2022-06-29 18:02:00,[1.86819318 15.37507946],[24.19210852 13.77719633],22.38102827,114.428856,0:04:00,2022-06-29 18:02:00,0:37:25
1728,1,20,2022-06-29 18:02:00,[0.6770575 3.38574434],[18.2840329 24.61729318],27.58231769,133.9336913,0:04:00,2022-06-29 18:02:00,0:33:52
415,1,50,2022-06-29 18:02:00,[23.21638967 18.05770293],[26.7756987 13.30140043],5.940630792,20.35157698,0:09:00,2022-06-29 18:02:00,1:03:43
1575,1,180,2022-06-29 18:02:00,[6.89148851 5.98714848],[1.1335352 19.30109175],14.5056924,84.89634648,0:09:00,2022-06-29 18:02:00,0:40:24
231,1,244,2022-06-29 18:02:00,[14.57615278 7.70329703],[8.54618706 9.21869895],6.217469703,21.04367426,0:13:00,2022-06-29 18:02:00,1:07:21
2991,1,49,2022-06-29 18:02:00,[11.57196984 23.37312562],[21.74367904 1.78578591],23.86371522,119.9889321,0:16:00,2022-06-29 18:02:00,1:05:18
735,1,246,2022-06-29 18:02:00,[6.31520819 24.27070921],[4.40765771 10.2793544],14.1207917,83.45296889,0:18:00,2022-06-29 18:02:00,0:53:32
788,1,58,2022-06-29 18:02:00,[9.4163423 20.73167438],[8.14899544 5.71829499],15.06677566,87.00040872,0:18:00,2022-06-29 18:02:00,1:00:17
2426,1,19,2022-06-29 18:02:00,[7.75752665 21.72614738],[27.24104629 7.07061343],24.38016024,121.9256009,0:18:00,2022-06-29 18:02:00,0:43:52
1020,1,256,2022-06-29 18:03:00,[8.11677769 7.46375366],[28.26174658 8.94817363],20.19958599,106.2484475,0:01:00,2022-06-29 18:03:00,1:17:36
1951,1,296,2022-06-29 18:03:00,[13.63448199 6.27863285],[0.11158982 7.24518681],13.55739057,81.34021463,0:01:00,2022-06-29 18:03:00,0:26:08
722,1,257,2022-06-29 18:03:00,[0.95231296 12.70005432],[2.53696134 18.20540867],5.728877457,19.82219364,0:02:00,2022-06-29 18:03:00,0:34:03
980,1,282,2022-06-29 18:03:00,[25.84994654 17.31351247],[26.71975366 17.9083567],1.05375713,13.0,0:04:00,2022-06-29 18:03:00,0:43:50
269,1,240,2022-06-29 18:03:00,[2.42757849 12.08940536],[5.20573545 20.84853267],9.189149428,28.47287357,0:07:00,2022-06-29 18:03:00,0:53:18
2749,1,112,2022-06-29 18:03:00,[15.44939432 3.92204218],[6.45214414 19.68683971],18.1515661,98.56837287,0:11:00,2022-06-29 18:03:00,0:23:31
252,1,47,2022-06-29 18:03:00,[7.01136246 16.20035744],[26.40237263 19.52632107],19.67417875,104.2781703,0:17:00,2022-06-29 18:03:00,0:46:14
2655,1,57,2022-06-29 18:03:00,[1.96883986 12.04330648],[22.9454368 27.45529012],26.02973028,128.1114886,0:20:00,2022-06-29 18:03:00,1:03:11
131,1,32,2022-06-29 18:04:00,[19.65725942 16.52572112],[2.6096028 12.25359639],17.57480145,96.40550543,0:01:00,2022-06-29 18:04:00,0:32:06
426,1,53,2022-06-29 18:04:00,[27.95261158 11.91045124],[2.612783 18.51199548],26.18563153,128.6961183,0:01:00,2022-06-29 18:04:00,0:54:15
511,1,29,2022-06-29 18:04:00,[1.44558037 10.80151398],[28.70399446 15.01203437],27.58168996,133.9313373,0:02:00,2022-06-29 18:04:00,0:03:00
1357,1,83,2022-06-29 18:04:00,[21.59990408 3.03496859],[18.69413561 10.68201897],8.180517708,25.95129427,0:11:00,2022-06-29 18:04:00,0:35:00
367,1,34,2022-06-29 18:04:00,[4.9411906 9.90645195],[22.70254517 15.58157579],18.64598473,100.4224427,0:14:00,2022-06-29 18:04:00,0:56:49
1158,1,277,2022-06-29 18:04:00,[21.03292762 12.3219463],[15.13911864 0.22059134],13.46030373,80.97613897,0:16:00,2022-06-29 18:04:00,0:15:04
586,1,208,2022-06-29 18:05:00,[22.77015848 3.07547892],[15.41563393 15.26671667],14.23781265,83.89179745,0:10:00,2022-06-29 18:05:00,0:44:23
1892,1,2,2022-06-29 18:05:00,[13.08643251 5.84381408],[24.48100507 24.07682244],21.50067157,111.1275184,0:10:00,2022-06-29 18:05:00,0:24:15
1952,1,135,2022-06-29 18:05:00,[15.29169515 11.39879857],[13.45455684 29.41944659],18.11405068,98.42769007,0:10:00,2022-06-29 18:05:00,0:44:57
133,1,111,2022-06-29 18:05:00,[2.43138648 6.60549606],[20.49776291 2.28392578],18.5760579,100.1602171,0:13:00,2022-06-29 18:05:00,0:12:42
409,1,227,2022-06-29 18:05:00,[26.76907494 5.55990539],[2.36907487 7.1853051],24.45407794,122.2027923,0:13:00,2022-06-29 18:05:00,1:11:57
460,1,226,2022-06-29 18:05:00,[16.61134456 16.25114437],[22.85705438 25.00949886],10.75721453,70.83955448,0:16:00,2022-06-29 18:05:00,0:33:11
488,1,52,2022-06-29 18:05:00,[24.2470563 28.43064078],[2.16949426 28.65345622],22.07868638,113.2950739,0:16:00,2022-06-29 18:05:00,1:00:28
2436,1,107,2022-06-29 18:05:00,[27.15234383 13.03822962],[14.64276781 27.82268509],19.36671413,103.125178,0:16:00,2022-06-29 18:05:00,0:23:40
1356,1,105,2022-06-29 18:05:00,[2.72162648 7.88086431],[26.24298188 3.86707755],23.86136299,119.9801112,0:19:00,2022-06-29 18:05:00,0:53:49
1373,1,190,2022-06-29 18:05:00,[10.16198867 16.91211304],[6.14937698 22.25986173],6.685766121,22.2144153,0:19:00,2022-06-29 18:05:00,0:22:05
847,1,255,2022-06-29 18:05:00,[10.12362837 26.12065366],[2.50574744 6.33377828],21.20265425,110.0099535,0:20:00,2022-06-29 18:05:00,0:45:26
767,1,77,2022-06-29 18:06:00,[0.74914986 13.47116304],[7.1243567 1.4884312],13.57310298,81.39913618,0:04:00,2022-06-29 18:06:00,1:24:15
112,1,66,2022-06-29 18:06:00,[26.10296622 0.63808233],[26.24105018 15.86811402],15.23065766,87.61496621,0:09:00,2022-06-29 18:06:00,1:09:48
907,1,249,2022-06-29 18:06:00,[13.98544773 5.69808409],[21.05214822 16.69393912],13.07084861,79.5156823,0:11:00,2022-06-29 18:06:00,1:20:59
964,1,79,2022-06-29 18:06:00,[20.76151659 4.1996213],[12.47455704 16.45765245],14.79638558,85.98644593,0:12:00,2022-06-29 18:06:00,1:03:43
2480,1,40,2022-06-29 18:06:00,[16.02569675 20.36709063],[26.20678807 12.96813863],12.58567086,77.69626571,0:12:00,2022-06-29 18:06:00,0:28:36
305,1,62,2022-06-29 18:06:00,[6.17061787 3.64159254],[18.45038904 23.23901342],23.12686068,117.2257276,0:13:00,2022-06-29 18:06:00,0:26:17
350,1,242,2022-06-29 18:06:00,[7.85117051 7.40936397],[27.18763742 7.486386],19.3366203,103.0123261,0:15:00,2022-06-29 18:06:00,1:02:32
1391,1,271,2022-06-29 18:07:00,[7.63991298 14.66852779],[12.22223644 29.59708472],15.61600142,89.06000532,0:03:00,2022-06-29 18:07:00,0:15:50
1225,1,41,2022-06-29 18:07:00,[15.56243541 1.53496519],[6.98575671 14.76005188],15.76268808,89.61008031,0:04:00,2022-06-29 18:07:00,0:16:09
1875,1,168,2022-06-29 18:07:00,[24.48683556 29.64786345],[11.66554489 1.42246908],31.00094162,146.7535311,0:09:00,2022-06-29 18:07:00,0:24:38
2833,1,274,2022-06-29 18:07:00,[2.32457392 4.87884889],[11.6414781 5.56812192],9.342365909,28.85591477,0:13:00,2022-06-29 18:07:00,1:04:36
2068,1,71,2022-06-29 18:07:00,[20.14535422 0.1307874],[27.73953316 3.375124],8.258164069,26.14541017,0:16:00,2022-06-29 18:07:00,0:29:29
1116,1,225,2022-06-29 18:08:00,[22.11397242 1.1013883],[14.24307018 10.08970183],11.94742156,75.30283087,0:01:00,2022-06-29 18:08:00,0:44:51
267,1,75,2022-06-29 18:08:00,[3.49099194 24.52349125],[11.4186988 26.33922961],8.132984813,25.83246203,0:02:00,2022-06-29 18:08:00,1:24:02
1884,1,24,2022-06-29 18:08:00,[11.8874204 28.91452984],[16.16942623 8.6363851],20.72531611,108.2199354,0:02:00,2022-06-29 18:08:00,1:08:01
2183,1,80,2022-06-29 18:08:00,[13.23603307 21.49428788],[11.59481169 6.33788751],15.2450018,87.66875674,0:07:00,2022-06-29 18:08:00,0:09:35
2255,1,106,2022-06-29 18:08:00,[13.26468414 2.14509073],[11.68972267 22.24809059],20.16460035,106.1172513,0:08:00,2022-06-29 18:08:00,0:22:15
811,1,236,2022-06-29 18:08:00,[4.83656436 19.69228811],[29.13452722 16.86566433],24.46182334,122.2318375,0:12:00,2022-06-29 18:08:00,0:22:32
972,1,91,2022-06-29 18:08:00,[23.40637946 16.91678763],[7.83487298 20.84859358],16.06022765,90.72585368,0:13:00,2022-06-29 18:08:00,0:29:36
2664,1,87,2022-06-29 18:08:00,[0.74627646 11.30506683],[26.87396573 8.23910639],26.30696219,129.1511082,0:14:00,2022-06-29 18:08:00,0:55:56
2065,1,25,2022-06-29 18:08:00,[15.17226895 24.51306399],[25.83026464 18.4687319],12.25262513,76.44734423,0:17:00,2022-06-29 18:08:00,0:39:56
2350,1,56,2022-06-29 18:08:00,[11.20922455 9.98736289],[5.28461738 18.2180001],10.14122079,68.52957798,0:19:00,2022-06-29 18:08:00,1:02:42
2576,1,234,2022-06-29 18:08:00,[18.26274975 12.35346082],[14.21425305 12.43562488],4.049330377,15.62332594,0:20:00,2022-06-29 18:08:00,0:57:40
19,1,68,2022-06-29 18:09:00,[3.36116707 11.93566797],[29.084113 25.96521378],29.30013828,140.3755185,0:01:00,2022-06-29 18:09:00,0:43:36
562,1,43,2022-06-29 18:09:00,[16.92222087 10.75735385],[19.69893221 7.21196739],4.503320002,16.75830001,0:01:00,2022-06-29 18:09:00,0:27:49
949,1,130,2022-06-29 18:09:00,[8.89837446 2.31562591],[5.0966122 3.80833241],4.084307659,15.71076915,0:02:00,2022-06-29 18:09:00,1:22:53
1909,1,102,2022-06-29 18:09:00,[21.08214898 23.78110217],[18.87352736 4.57974494],19.32796237,102.9798589,0:06:00,2022-06-29 18:09:00,1:07:40
1768,1,27,2022-06-29 18:09:00,[26.48509472 15.83436325],[15.52889485 17.33631244],11.05866931,71.97000992,0:07:00,2022-06-29 18:09:00,0:41:41
926,1,199,2022-06-29 18:09:00,[24.85316013 2.4056027],[14.30516633 18.90279381],19.58104919,103.9289345,0:11:00,2022-06-29 18:09:00,0:58:11
1196,1,170,2022-06-29 18:09:00,[19.44892582 15.33281464],[13.36553443 29.00905544],14.96820674,86.63077527,0:15:00,2022-06-29 18:09:00,0:13:49
1795,1,221,2022-06-29 18:09:00,[13.66505086 0.92473856],[26.37613013 0.3903064],12.7223093,78.20865988,0:16:00,2022-06-29 18:09:00,0:29:57
799,1,247,2022-06-29 18:09:00,[15.96875628 3.09795027],[5.17571631 17.03922892],17.63090929,96.61590983,0:19:00,2022-06-29 18:09:00,0:22:14
2394,1,38,2022-06-29 18:10:00,[22.87957676 12.82325763],[18.7993105 21.8278003],9.885866757,30.21466689,0:02:00,2022-06-29 18:10:00,0:30:19
2001,1,285,2022-06-29 18:10:00,[13.54641068 12.24060274],[20.62394412 7.49602396],8.520710496,26.80177624,0:05:00,2022-06-29 18:10:00,0:32:39
1956,1,114,2022-06-29 18:10:00,[3.91022171 9.27804334],[3.50636282 29.57575321],20.30172721,106.6314771,0:12:00,2022-06-29 18:10:00,1:10:53
770,1,220,2022-06-29 18:10:00,[22.52308948 3.7645889],[23.18314259 7.10799975],3.407941634,14.01985408,0:14:00,2022-06-29 18:10:00,1:33:19
1755,1,280,2022-06-29 18:10:00,[25.831002 16.97589221],[4.71706995 20.71868226],21.44310154,110.9116308,0:15:00,2022-06-29 18:10:00,0:33:07
917,1,238,2022-06-29 18:10:00,[24.41170031 28.21511859],[19.46296158 28.63697787],4.966687049,17.91671762,0:17:00,2022-06-29 18:10:00,1:11:34
2101,1,152,2022-06-29 18:10:00,[18.90103733 10.21727812],[9.03477059 17.34689359],12.17270044,76.14762663,0:18:00,2022-06-29 18:10:00,0:55:05
1793,1,147,2022-06-29 18:11:00,[7.46830574 9.73314686],[10.02646012 0.77227229],9.31887476,28.7971869,0:02:00,2022-06-29 18:11:00,0:19:55
57,1,161,2022-06-29 18:11:00,[22.12503744 13.56653823],[6.73814469 13.57318548],15.38689419,88.20085322,0:03:00,2022-06-29 18:11:00,0:16:12
2567,1,26,2022-06-29 18:11:00,[15.75307194 11.05861957],[1.97526494 18.66500773],15.7380147,89.51755512,0:10:00,2022-06-29 18:11:00,0:57:25
1085,1,245,2022-06-29 18:11:00,[10.25547126 13.01082994],[25.45415323 10.89766055],15.34488249,88.04330934,0:11:00,2022-06-29 18:11:00,0:18:44
566,1,243,2022-06-29 18:11:00,[13.09842569 17.40266504],[15.50095156 22.76328761],5.874385491,20.18596373,0:16:00,2022-06-29 18:11:00,0:42:13
2650,1,113,2022-06-29 18:11:00,[6.81447267 11.68878052],[18.19373327 22.66016789],15.80692609,89.77597285,0:18:00,2022-06-29 18:11:00,1:03:56
268,1,165,2022-06-29 18:12:00,[26.0417007 24.177762],[23.70091309 9.14037417],15.21848611,87.56932291,0:01:00,2022-06-29 18:12:00,0:44:06
1647,1,162,2022-06-29 18:12:00,[15.05806742 18.1521376],[16.79671596 14.59215107],3.961868607,15.40467152,0:02:00,2022-06-29 18:12:00,0:40:28
1820,1,178,2022-06-29 18:12:00,[1.62142882 13.71691259],[16.48866903 26.63452921],19.69516821,104.3568808,0:04:00,2022-06-29 18:12:00,0:11:17
2094,1,223,2022-06-29 18:12:00,[9.86237965 21.61301107],[19.31311824 9.98455083],14.98457698,86.69216369,0:06:00,2022-06-29 18:12:00,0:56:25
708,1,175,2022-06-29 18:12:00,[22.70190501 13.26881416],[21.22191 11.67691415],2.173598602,13.0,0:11:00,2022-06-29 18:12:00,0:41:38
1815,1,88,2022-06-29 18:12:00,[1.65997161 5.94392225],[0.27602693 18.81775202],12.94800354,79.05501328,0:16:00,2022-06-29 18:12:00,0:56:50
1673,1,153,2022-06-29 18:13:00,[3.18390058 14.78344038],[4.82140048 29.34796391],14.6562871,85.46107663,0:01:00,2022-06-29 18:13:00,0:38:04
834,1,202,2022-06-29 18:13:00,[12.51580256 4.80676803],[5.12809207 12.54434364],10.69805322,70.61769956,0:03:00,2022-06-29 18:13:00,1:03:35
1165,1,279,2022-06-29 18:13:00,[6.11983811 24.79393828],[16.73066074 1.6383091],25.47101725,126.0163147,0:03:00,2022-06-29 18:13:00,0:50:27
1981,1,269,2022-06-29 18:13:00,[16.12250816 0.67512982],[13.32339016 23.44068655],22.93699271,116.5137227,0:03:00,2022-06-29 18:13:00,0:11:48
1758,1,174,2022-06-29 18:13:00,[9.76743398 29.50791899],[20.02053489 1.31540557],29.99906484,142.9964931,0:07:00,2022-06-29 18:13:00,0:30:57
1687,1,163,2022-06-29 18:13:00,[21.19927565 28.21919998],[9.87963832 1.26601406],29.2336864,140.126324,0:17:00,2022-06-29 18:13:00,0:31:05
1491,1,90,2022-06-29 18:13:00,[4.64524184 10.6858183],[20.91039042 16.80347949],17.37759583,95.66598435,0:18:00,2022-06-29 18:13:00,0:26:14
322,1,73,2022-06-29 18:13:00,[21.79385145 29.75429854],[2.97534299 12.04482948],25.84108271,127.4040601,0:19:00,2022-06-29 18:13:00,0:43:07
16,1,21,2022-06-29 18:14:00,[3.05347418 4.58577418],[7.37873185 4.8204412],4.331618929,16.32904732,0:01:00,2022-06-29 18:14:00,1:05:06
608,1,216,2022-06-29 18:14:00,[22.52819395 3.04118693],[8.33558328 8.28957325],15.13194491,87.2447934,0:01:00,2022-06-29 18:14:00,0:11:23
2199,1,237,2022-06-29 18:14:00,[0.27757567 13.81698023],[14.65004739 0.6770909],19.47369084,103.5263406,0:03:00,2022-06-29 18:14:00,1:03:42
524,1,198,2022-06-29 18:14:00,[20.32626802 9.35591574],[23.21974134 23.18764446],14.13113255,83.49174707,0:04:00,2022-06-29 18:14:00,0:18:29
1222,1,297,2022-06-29 18:14:00,[18.29045725 27.45295363],[4.69086425 22.55394491],14.4550758,84.70653423,0:05:00,2022-06-29 18:14:00,0:45:07
693,1,125,2022-06-29 18:14:00,[7.93905081 19.85906834],[24.44819186 23.34075729],16.87228189,93.77105708,0:09:00,2022-06-29 18:14:00,0:23:53
2257,1,22,2022-06-29 18:14:00,[1.42749578 11.56411304],[4.74722225 20.86062752],9.871462171,30.17865543,0:10:00,2022-06-29 18:14:00,0:29:52
